

==================== CO1 ====================
[2M | Remember | 1 (Easy)] What is DBMS?
[10M | Apply | None] Solve an example where "deadlock recovery" is required after multiple transactions have been detected in a DBMS.
[10M | Apply | None] Solve a problem where database transactions are scheduled using the "two-phase locking protocol" and deadlock is prevented.
[10M | Apply | None] Solve a numerical problem where the database must recover after a "system failure" using log-based recovery techniques.
[10M | Apply | None] Solve a problem where you need to apply the "write-ahead logging" protocol for transaction recovery.
[10M | Apply | None] Solve a problem where a transaction is aborted due to a failure, and recovery is performed using "undo/redo" logging.
[10M | Apply | None] Solve a problem where transactions are scheduled to achieve "view serializability."
[10M | Apply | None] Solve a problem that involves "log-based recovery" for a transaction that needs to be rolled back.
[10M | Apply | None] Solve a scenario where "checkpoints" are used to facilitate recovery from a database crash.
[10M | Apply | None] Solve a problem where transactions are executed in a "two-phase locking protocol" to prevent conflicts.
[10M | Apply | None] Solve a problem where "shadow paging" is used to recover from a failure after a transaction aborts.
[10M | Apply | None] Solve a problem where you need to manage "deadlock detection" in a DBMS using a specified algorithm.
[10M | Apply | None] Solve a problem that requires implementing a "lock-based protocol" to avoid conflicts between transactions.
[10M | Apply | None] Solve a problem involving "timestamp-based protocols" and how they enforce serializability in transaction management.
